WG-1	WG-1.bml
AANTREKKELIJK	AANTREKKELIJK.sigml
AANTREKKEN	AANTREKKEN-CL{JAS}.sigml
AANVAL	AANVAL.sigml
AANVALLEN	AANVALLEN-DI{1_2}.sigml
AANVALLEN	AANVALLEN-DI{1_3A}.sigml
AANVALLEN	AANVALLEN-DI{1_3B}.sigml
AANVALLEN	AANVALLEN-DI{2_1}.sigml
AANWEZIG	AANWEZIG-AM{NEGATIE}.sigml
AANWEZIG	AANWEZIG-GR.sigml
AANWEZIG	AANWEZIG.sigml
AANWIJZEN	AANWIJZEN.sigml
AARDAPPEL	AARDAPPEL.sigml
AARDAPPELPUREE	AARDAPPELPUREE.sigml
AARDBEI	AARDBEI.sigml
AARDE	AARDE-AM{GROND}.sigml
AARDE	AARDE-AM{WERELD}.sigml
AARDIG	AARDIG-AM{NIET_SLECHT}.sigml
AARDIG	AARDIG-AM{PERSOON}.sigml
ABONNEMENT	ABONNEMENT.sigml
ACCEPTEREN	ACCEPTEREN.sigml
ACHTER	ACHTER-AM{ACHTERNAAM}.sigml
ACHTER	ACHTER-AM{LOPEN}.sigml
ACHTER	ACHTER-AM{MIJ}.sigml
ACHTER	ACHTER-AM{OBJECT}.sigml
ACHTER	ACHTER-AM{ZIN}.sigml
ACHTERNAAM	ACHTERNAAM.sigml
ACHTERUITGAAN	ACHTERUITGAAN-AM{GEZONDHEID}.sigml
ACHT_UUR	ACHT_UUR-AM{TIJDSDUUR}.sigml
ACHT_UUR	ACHT_UUR-AM{TIJDSTIP}.sigml
ADEMEN	ADEMEN-AM{ADEMHALEN}.sigml
ADEMEN	ADEMEN-AM{INADEMEN}.sigml
ADEMEN	ADEMEN-AM{UITADEMEN}.sigml
ADEMHALEN	ADEMHALEN.sigml
ADEM_UITBLAZEN	ADEM_UITBLAZEN.sigml
ADRES	ADRES.sigml
ADVOCAAT	ADVOCAAT.sigml
AF	AF-AM{SPEL_PERSONEN}.sigml
AF	AF-AM{SPEL_PION}.sigml
AFDELING	AFDELING.sigml
AFDROGEN	AFDROGEN-AM{AFWAS}.sigml
AFDROGEN	AFDROGEN-AM{KIND}.sigml
AFDROGEN	AFDROGEN-AM{LICHAAM}.sigml
AFDRUKKEN	AFDRUKKEN.sigml
AFGELOPEN	AFGELOPEN-AM{DAGEN}.sigml
AFGELOPEN	AFGELOPEN-AM{EINDE}.sigml
AFGELOPEN	AFGELOPEN-AM{ONLANGS}.sigml
AFGELOPEN	AFGELOPEN-AM{VORIGE}.sigml
AFGEPRIJSD	AFGEPRIJSD.sigml
AFGESPOKEN	AFGESPOKEN.sigml
AFHANKELIJK	AFHANKELIJK-AM{IETS}.sigml
AFHANKELIJK	AFHANKELIJK-AM{PERSOON}.sigml
AFHOUDEN	AFHOUDEN.sigml
AFNEMEN	AFNEMEN-CL{BLOED}.sigml
AFPAKKEN	AFPAKKEN-DI{1_3}.sigml
AFPAKKEN	AFPAKKEN-DI{3_1}.sigml
AFPAKKEN	AFPAKKEN.sigml
AFSPRAAK	AFSPRAAK.sigml
AFSPREKEN	AFSPREKEN.sigml
AFWASBORSTEL	AFWASBORSTEL.sigml
AFWASSEN	AFWASSEN.sigml
AGENDA	AGENDA.sigml
AKELIG	AKELIG.sigml
AKKOORD	AKKOORD.sigml
AL	AL.sigml
ALARM	ALARM.sigml
ALDOOR	ALDOOR.sigml
ALINEAS	ALINEAS.sigml
ALLEEN	ALLEEN.sigml
ALLEMAAL	ALLEMAAL.sigml
ALLERGIE	ALLERGIE.sigml
ALLES	ALLES.sigml
ALLOCHTOON	ALLOCHTOON.sigml
ALS	ALS.sigml
ALSJEBLIEFT	ALSJEBLIEFT.sigml
ALSTUBLIEFT	ALSTUBLIEFT.sigml
ALTIJD	ALTIJD-AM{ANDERS}.sigml
ALTIJD	ALTIJD.sigml
ALVLEESKLIER	ALVLEESKLIER.sigml
ALWEER	ALWEER.sigml
AMBULANCE	AMBULANCE.sigml
AMSTERDAM	AMSTERDAM.sigml
ANDERE	ANDERE.sigml
ANDERE_KEER	ANDERE_KEER-SQ.sigml
ANDERHALF	ANDERHALF.sigml
ANDERS	ANDERS.sigml
ANDERSOM	ANDERSOM.sigml
ANDIJVIE	ANDIJVIE.sigml
ANGSTIG	ANGSTIG.sigml
ANNULEREN	ANNULEREN.sigml
ANTWOORD	ANTWOORD.sigml
ANTWOORDAPPARAAT	ANTWOORDAPPARAAT.sigml
APOTHEEK	APOTHEEK.sigml
APPARAAT	APPARAAT.sigml
APPEL	APPEL.sigml
APPELFLAP	APPELFLAP.sigml
APPELMOES	APPELMOES.sigml
APPELSAP	APPELSAP.sigml
APPELSTROOP	APPELSTROOP.sigml
APRIL	APRIL.sigml
ARM	ARM-AM{LEDEMAAT}.sigml
ARM	ARM-AM{ZIJN}.sigml
ARMOEDIG	ARMOEDIG.sigml
ARTS	ARTS.sigml
ASIEL	ASIEL.sigml
ASIELZOEKER	ASIELZOEKER.sigml
AU	AU.sigml
AUDICIEN	AUDICIEN.sigml
AUDIOGRAM	AUDIOGRAM.sigml
AUDIOLOGIE	AUDIOLOGIE.sigml
AUDIOLOOG	AUDIOLOOG.sigml
AUGUSTUS	AUGUSTUS.sigml
AUTO	AUTO.sigml
AUTOBUS	AUTOBUS.sigml
AUTOMAAT	AUTOMAAT-AM{AUTO}.sigml
AUTOMATISCH	AUTOMATISCH-AM{TECHNIEK}.sigml
AUTOMATISCH	AUTOMATISCH.sigml
AUTOMATISCHE	AUTOMATISCHE.sigml
AUTORIJDEN	AUTORIJDEN.sigml
AVOND	AVOND.sigml
B	B-SP.sigml
BAAN	BAAN-AM{WERK}.sigml
BAARD	BAARD.sigml
BAAS	BAAS.sigml
BABBELEN	BABBELEN-CL{GEBARENTAAL}.sigml
BABY	BABY.sigml
BABYSITTEN	BABYSITTEN.sigml
BAD	BAD.sigml
BADJAS	BADJAS.sigml
BADKAMER	BADKAMER.sigml
BADKUIP	BADKUIP.sigml
BADPAK	BADPAK.sigml
BAGAGE	BAGAGE.sigml
BAKKEN	BAKKEN.sigml
BAKKER	BAKKER.sigml
BAL	BAL.sigml
BALEN	BALEN.sigml
BALLON	BALLON.sigml
BANAAN	BANAAN.sigml
BANG	BANG.sigml
BANK	BANK-AM{GELD}.sigml
BANK	BANK-AM{MEUBEL}.sigml
BANKETLETTER	BANKETLETTER.sigml
BANKETSTAAF	BANKETSTAAF.sigml
BARET	BARET.sigml
BASIS	BASIS.sigml
BASISELEMENT	BASISELEMENT.sigml
BATTERIJ	BATTERIJ.sigml
BB	BB-SP.sigml
BED	BED.sigml
BEDANKEN	BEDANKEN.sigml
BEDENKEN	BEDENKEN.sigml
BEDOELEN	BEDOELEN.sigml
BEDOELING	BEDOELING.sigml
BEDRIJF	BEDRIJF.sigml
BEEKJE	BEEKJE.sigml
BEEN	BEEN.sigml
BEETJE	BEETJE.sigml
BEGELEIDEN	BEGELEIDEN.sigml
BEGELEIDER	BEGELEIDER.sigml
BEGELEIDING	BEGELEIDING.sigml
BEGIN	BEGIN.sigml
BEGINNEN	BEGINNEN.sigml
BEGRAFENIS	BEGRAFENIS.sigml
BEGRAVEN	BEGRAVEN.sigml
BEGRIJPEN	BEGRIJPEN.sigml
BEHA	BEHA.sigml
BEHEERSEN	BEHEERSEN.sigml
BEHEERSING	BEHEERSING.sigml
BEHOEDEN	BEHOEDEN.sigml
BEHOEDZAAM	BEHOEDZAAM.sigml
BEINVLOEDEN	BEINVLOEDEN.sigml
BEKEND	BEKEND.sigml
BEKENDE	BEKENDE.sigml
BEKENDMAKEN	BEKENDMAKEN.sigml
BEKER	BEKER.sigml
BEL	BEL.sigml
BELANGRIJK	BELANGRIJK.sigml
BELASTING	BELASTING.sigml
BELEDIGD	BELEDIGD.sigml
BELEEFD	BELEEFD.sigml
BELLEN	BELLEN-CL{HOREND}.sigml
BELLEN	BELLEN.sigml
BELOVEN	BELOVEN.sigml
BEMOEIEN	BEMOEIEN-AM{NEGATIE}.sigml
BEMOEIEN	BEMOEIEN.sigml
BENAUWDHEID	BENAUWDHEID.sigml
BENEDEN	BENEDEN.sigml
BENIEUWD	BENIEUWD.sigml
BENZINE	BENZINE.sigml
BEOORDELEN	BEOORDELEN.sigml
BEPROEVEN	BEPROEVEN.sigml
BEREIKEN	BEREIKEN.sigml
BERG	BERG.sigml
BESCHERMEN	BESCHERMEN.sigml
BESCHUIT	BESCHUIT.sigml
BESLISSEN	BESLISSEN.sigml
BESLISSING	BESLISSING.sigml
BESLUIT	BESLUIT.sigml
BESLUITEN	BESLUITEN.sigml
BESTAAN	BESTAAN.sigml
BETALEN	BETALEN.sigml
BETEKENEN	BETEKENEN.sigml
BETEKENIS	BETEKENIS.sigml
BETER	BETER-AM{GEZOND}.sigml
BETER	BETER.sigml
BETOVEREN	BETOVEREN.sigml
BETRAPPEN	BETRAPPEN.sigml
BEURT	BEURT.sigml
BEVALLEN	BEVALLEN-AM{BABY}.sigml
BEVALLEN	BEVALLEN-AM{PRETTIG}.sigml
BEVRIJDING	BEVRIJDING.sigml
BEVRIJDINGSDAG	BEVRIJDINGSDAG.sigml
BEWEGEN	BEWEGEN.sigml
BEWEGING	BEWEGING.sigml
BEWIJS	BEWIJS.sigml
BEWIJZEN	BEWIJZEN.sigml
BEZIG	BEZIG.sigml
BEZOEK	BEZOEK.sigml
BEZOEKEN	BEZOEKEN.sigml
BEZORGD	BEZORGD.sigml
BIDDEN	BIDDEN-CL{CHRISTENEN}.sigml
BIDDEN	BIDDEN-CL{JODEN}.sigml
BIDDEN	BIDDEN-CL{MOSLIMS}.sigml
BIJ	BIJ-AM{EXTRA}.sigml
BIJ	BIJ-AM{INSECT}.sigml
BIJBEL	BIJBEL.sigml
BIJNA	BIJNA.sigml
BIJVOORBEELD	BIJVOORBEELD.sigml
BIKINI	BIKINI.sigml
BIL	BIL.sigml
BILLEN	BILLEN.sigml
BINNEN	BINNEN.sigml
BINNENKORT	BINNENKORT.sigml
BINNEN_GAAN	BINNEN_GAAN-SQ.sigml
BIOSCOOP	BIOSCOOP.sigml
BIPS	BIPS.sigml
BLAAS	BLAAS.sigml
BLAD	BLAD.sigml
BLADZIJDE	BLADZIJDE.sigml
BLAFFEN	BLAFFEN.sigml
BLANK	BLANK-AM{HUIDSKLEUR}.sigml
BLAUW	BLAUW.sigml
BLAUWE_PLEK	BLAUWE_PLEK-SQ.sigml
BLEEK_ZIEN	BLEEK_ZIEN-SQ.sigml
BLIJ	BLIJ.sigml
BLIJKEN	BLIJKEN.sigml
BLIJVEN	BLIJVEN.sigml
BLIK	BLIK.sigml
BLIND	BLIND.sigml
BLOED	BLOED.sigml
BLOEDDRUK	BLOEDDRUK.sigml
BLOEDNEUS	BLOEDNEUS.sigml
BLOEDPRIKKEN	BLOEDPRIKKEN.sigml
BLOED_AFNEMEN	BLOED_AFNEMEN-SQ.sigml
BLOEIEN	BLOEIEN.sigml
BLOES	BLOES.sigml
BLOKKEN	BLOKKEN.sigml
BLOND	BLOND-AM{HAARKLEUR}.sigml
BLOOT	BLOOT.sigml
BLOUSE	BLOUSE.sigml
BLOZEN	BLOZEN.sigml
BOEF	BOEF.sigml
BOEK	BOEK.sigml
BOEKENKAST	BOEKENKAST.sigml
BOER	BOER.sigml
BOERDERIJ	BOERDERIJ.sigml
BOERIN	BOERIN.sigml
BOETE	BOETE.sigml
BOFFEN	BOFFEN.sigml
BONEN	BONEN.sigml
BOODSCHAPPEN	BOODSCHAPPEN.sigml
BOODSCHAPPENLIJST	BOODSCHAPPENLIJST.sigml
BOOM	BOOM.sigml
BOOMSTAM	BOOMSTAM.sigml
BOOS	BOOS-AM{KINDERGEBAAR}.sigml
BOOS	BOOS.sigml
BOOT	BOOT.sigml
BORD	BORD-AM{SERVIES}.sigml
BORST	BORST.sigml
BOS	BOS.sigml
BOT	BOT.sigml
BOTER	BOTER.sigml
BOTERHAM	BOTERHAM.sigml
BOTSEN	BOTSEN.sigml
BOTSING	BOTSING.sigml
BOUWEN	BOUWEN.sigml
BOUWNIJVERHEID	BOUWNIJVERHEID.sigml
BOVEN	BOVEN.sigml
BRABANT	BRABANT.sigml
BRAND	BRAND.sigml
BRANDEN	BRANDEN.sigml
BRANDWEER	BRANDWEER.sigml
BREED	BREED.sigml
BREEDTE	BREEDTE.sigml
BREKEN	BREKEN.sigml
BRENGEN	BRENGEN.sigml
BRIEF	BRIEF.sigml
BRIEVENBUS	BRIEVENBUS.sigml
BRIL	BRIL.sigml
BROEDER	BROEDER.sigml
BROEK	BROEK.sigml
BROER	BROER.sigml
BROMMER	BROMMER.sigml
BROOD	BROOD.sigml
BROODTROMMEL	BROODTROMMEL.sigml
BRUG	BRUG.sigml
BRUGGETJE	BRUGGETJE.sigml
BRUID	BRUID.sigml
BRUIDEGOM	BRUIDEGOM.sigml
BRUIN	BRUIN-AM{HUIDSKLEUR}.sigml
BRUIN	BRUIN.sigml
BRUTAAL	BRUTAAL.sigml
BUGALOW	BUGALOW.sigml
BUIK	BUIK.sigml
BUIKKRAMP	BUIKKRAMP.sigml
BUIKPIJN	BUIKPIJN.sigml
BUITEN	BUITEN.sigml
BULT	BULT.sigml
BUNGALOW	BUNGALOW.sigml
BUREAU	BUREAU.sigml
BUREN	BUREN.sigml
BUS	BUS.sigml
BUSCHAUFFEUR	BUSCHAUFFEUR.sigml
BUURMAN	BUURMAN.sigml
BUURT	BUURT.sigml
BUURVROUW	BUURVROUW.sigml
C	C-SP.sigml
CADEAU	CADEAU.sigml
CAMPING	CAMPING.sigml
CARAVAN	CARAVAN.sigml
CAVIA	CAVIA.sigml
CC	CC-SP.sigml
CENTRUM	CENTRUM.sigml
CHAMPAGNE	CHAMPAGNE.sigml
CHARMANT	CHARMANT.sigml
CHAUFFEUR	CHAUFFEUR.sigml
CHIPS	CHIPS.sigml
CHOCOLADE	CHOCOLADE.sigml
CI	CI.sigml
CIJFER	CIJFER.sigml
CIJFERS	CIJFERS.sigml
CITROEN	CITROEN.sigml
COMMANDEREN	COMMANDEREN.sigml
COMMUNICATIE	COMMUNICATIE.sigml
COMPLIMENT	COMPLIMENT.sigml
COMPUTER	COMPUTER.sigml
CONCREET	CONCREET.sigml
CONTACT	CONTACT.sigml
CONTINU	CONTINU.sigml
CONTROLE	CONTROLE.sigml
CONTROLEREN	CONTROLEREN.sigml
CORONA	CORONA.sigml
CORONA_B	CORONA_B.sigml
CREMATIE	CREMATIE.sigml
CRITISCH	CRITISCH.sigml
CROCUS	CROCUS.sigml
CROISSANT	CROISSANT.sigml
CULTUUR	CULTUUR.sigml
CURSUS	CURSUS.sigml
D	D-SP.sigml
DAAROM	DAAROM.sigml
DAG	DAG-AM{GROET}.sigml
DAG	DAG.sigml
DAGEN	DAGEN.sigml
DAGERAAD	DAGERAAD.sigml
DAN	DAN.sigml
DANSEN	DANSEN.sigml
DARMEN	DARMEN.sigml
DD	DD-SP.sigml
DECEMBER	DECEMBER.sigml
DEKEN	DEKEN.sigml
DENKEN	DENKEN.sigml
DEUR	DEUR.sigml
DING	DING.sigml
DINSDAG	DINSDAG.sigml
DIT	DIT.sigml
DOCENT	DOCENT.sigml
DOCHTER	DOCHTER.sigml
DOEI	DOEI.sigml
DOEL	DOEL.sigml
DOEN	DOEN.sigml
DOEN_ALSOF	DOEN_ALSOF-SQ.sigml
DOKTER	DOKTER.sigml
DONDERDAG	DONDERDAG.sigml
DONKER_WORDEN	DONKER_WORDEN-SQ.sigml
DOOF	DOOF.sigml
DOOF_WORDEN	DOOF_WORDEN-SQ.sigml
DOORGAAN	DOORGAAN.sigml
DORST	DORST.sigml
DOUCHE	DOUCHE.sigml
DOUCHEN	DOUCHEN.sigml
DRAMA	DRAMA.sigml
DRANKJE	DRANKJE.sigml
DRIE_UUR	DRIE_UUR-AM{TIJDSDUUR}.sigml
DRIE_UUR	DRIE_UUR-AM{TIJDSTIP}.sigml
DRINKEN	DRINKEN-CL{HOND}.sigml
DRINKEN	DRINKEN.sigml
DROOG	DROOG.sigml
DRUKKEN	DRUKKEN.sigml
DRUKKEND	DRUKKEND.sigml
DRUPPELS	DRUPPELS.sigml
DUIZEND	DUIZEND.sigml
E	E-SP.sigml
ECHO	ECHO.sigml
ECHTPAAR	ECHTPAAR.sigml
EE	EE-SP.sigml
EEKHOORN	EEKHOORN.sigml
EENS	EENS.sigml
EEN_UUR	EEN_UUR-AM{TIJDSDUUR}.sigml
EEN_UUR	EEN_UUR-AM{TIJDSTIP}.sigml
EERDER	EERDER.sigml
EERLIJK	EERLIJK.sigml
EERSTE	EERSTE.sigml
EI	EI.sigml
EIND	EIND.sigml
ELF	ELF.sigml
ELLENDIG	ELLENDIG.sigml
EMAIL	EMAIL.sigml
EMAILEN	EMAILEN-DI{1_2}.sigml
EMAILEN	EMAILEN-DI{2_1}.sigml
ERG_ZIEK	ERG_ZIEK-SQ.sigml
ER_GENOEG_VAN_HEBBEN	ER_GENOEG_VAN_HEBBEN-SQ.sigml
ETEN	ETEN-AM{NEGATIE}.sigml
ETEN	ETEN.sigml
EURO	EURO.sigml
EVEN	EVEN.sigml
F	F-SP.sigml
FABRIEK	FABRIEK.sigml
FANTASIE	FANTASIE.sigml
FAVORIET	FAVORIET.sigml
FEBRUARI	FEBRUARI.sigml
FEEST	FEEST.sigml
FF	FF-SP.sigml
FIETS	FIETS.sigml
FILM	FILM.sigml
FLUITJE_VAN_EEN_CENT	FLUITJE_VAN_EEN_CENT-SQ.sigml
FOTO	FOTO.sigml
FOTOGRAFEREN	FOTOGRAFEREN.sigml
FOUT	FOUT.sigml
FRIET	FRIET.sigml
G	G-SP.sigml
GAAN	GAAN-DI{1_2}.sigml
GAAN	GAAN-DI{1_3A}.sigml
GAAN	GAAN.sigml
GALBLAAS	GALBLAAS.sigml
GANG	GANG.sigml
GARAGE	GARAGE.sigml
GAT	GAT.sigml
GEBAREN	GEBAREN.sigml
GEBEURD	GEBEURD.sigml
GEBEUREN	GEBEUREN.sigml
GEBOREN	GEBOREN.sigml
GEBOUW	GEBOUW.sigml
GEBRUIKEN	GEBRUIKEN.sigml
GEDEELD_DOOR	GEDEELD_DOOR-SQ.sigml
GEDRAG	GEDRAG.sigml
GEDRAGEN	GEDRAGEN.sigml
GEDULD	GEDULD.sigml
GEDULDIG	GEDULDIG.sigml
GEEL	GEEL.sigml
GEEN_VERSTAND_HEBBEN	GEEN_VERSTAND_HEBBEN-SQ.sigml
GEHANDICAPT	GEHANDICAPT.sigml
GEHEEL	GEHEEL-AM{TIJD}.sigml
GEHEIM	GEHEIM.sigml
GEHOORAPPARAAT	GEHOORAPPARAAT.sigml
GEHOORZAAM	GEHOORZAAM.sigml
GEHOORZAMEN	GEHOORZAMEN.sigml
GEIRRITEERD	GEIRRITEERD.sigml
GEIT	GEIT.sigml
GEKNEUSD	GEKNEUSD.sigml
GELD	GELD.sigml
GELDERLAND	GELDERLAND.sigml
GELIJK_HEBBEN	GELIJK_HEBBEN-SQ.sigml
GELOOF	GELOOF.sigml
GELOVEN	GELOVEN.sigml
GELUK	GELUK.sigml
GEMAKKELIJK	GEMAKKELIJK.sigml
GEMEENTE	GEMEENTE.sigml
GENIETEN	GENIETEN.sigml
GEOPEND	GEOPEND.sigml
GEPRIKKELD	GEPRIKKELD.sigml
GESLOTEN	GESLOTEN.sigml
GESPREKKEN	GESPREKKEN.sigml
GESPROKEN	GESPROKEN.sigml
GESTOORD	GESTOORD.sigml
GETROUWD	GETROUWD.sigml
GEVAARLIJK	GEVAARLIJK.sigml
GEVEN	GEVEN-CL{KLEIN}-DI{1_2}.sigml
GEVEN	GEVEN-CL{MIDDELGROOT}-DI{1_2}.sigml
GEVEN	GEVEN-CL{MIDDELGROOT}-DI{1_3A}.sigml
GEVEN	GEVEN-CL{PLAT}-DI{1_3A}.sigml
GEVEN	GEVEN-DI{1_2}.sigml
GEVEN	GEVEN-DI{1_3A}.sigml
GEVEN	GEVEN-DI{1_3B}.sigml
GEVEN	GEVEN-DI{3A_3B}.sigml
GEVEN	GEVEN-DI{3B_1}.sigml
GEVOEL	GEVOEL.sigml
GEVOLG	GEVOLG.sigml
GEWOND	GEWOND.sigml
GEWOON	GEWOON.sigml
GG	GG-SP.sigml
GOD	GOD.sigml
GOED	GOED.sigml
GOEDKOOP	GOEDKOOP.sigml
GOOIEN	GOOIEN.sigml
GOUD	GOUD.sigml
GRAAG	GRAAG.sigml
GRACHT	GRACHT.sigml
GRAFIEK	GRAFIEK.sigml
GRAMMATICA	GRAMMATICA.sigml
GRAP	GRAP.sigml
GRAS	GRAS.sigml
GRATIS	GRATIS.sigml
GRIEP	GRIEP.sigml
GROEIEN	GROEIEN.sigml
GROEN	GROEN.sigml
GROENTE	GROENTE.sigml
GROENTENBOER	GROENTENBOER.sigml
GROEP	GROEP.sigml
GROETEN_DOEN	GROETEN_DOEN-SQ.sigml
GROND	GROND.sigml
GRONINGEN	GRONINGEN.sigml
GROOT	GROOT.sigml
GROOTVADER	GROOTVADER.sigml
GULDEN	GULDEN.sigml
GYM	GYM.sigml
GYMNASTIEK	GYMNASTIEK.sigml
H	H-SP.sigml
HAAN	HAAN.sigml
HAAR	HAAR.sigml
HAAS	HAAS.sigml
HAAST	HAAST.sigml
HAGELSLAG	HAGELSLAG.sigml
HALEN	HALEN-AM{EXAMEN}.sigml
HALEN	HALEN-DI{3A_1}.sigml
HALEN	HALEN.sigml
HALF	HALF.sigml
HALF_UUR	HALF_UUR-SQ.sigml
HALLO	HALLO.sigml
HALS	HALS.sigml
HALTE	HALTE.sigml
HAMER	HAMER.sigml
HAMSTER	HAMSTER.sigml
HAND	HAND.sigml
HANDDOEK	HANDDOEK.sigml
HANDDRUK	HANDDRUK.sigml
HANDENARBEID	HANDENARBEID.sigml
HANDICAP	HANDICAP.sigml
HANDSCHOENEN	HANDSCHOENEN.sigml
HANDTEKENING	HANDTEKENING.sigml
HANDVORM	HANDVORM.sigml
HAND_GEVEN	HAND_GEVEN-SQ.sigml
HAPJE	HAPJE.sigml
HARD	HARD.sigml
HARK	HARK.sigml
HARKEN	HARKEN.sigml
HART	HART.sigml
HATEN	HATEN-DI{2_1}.sigml
HATEN	HATEN.sigml
HEBBEN	HEBBEN-AM{NEGATIE}.sigml
HEBBEN	HEBBEN.sigml
HECHTEN	HECHTEN.sigml
HEER	HEER.sigml
HEET	HEET.sigml
HEIMWEE	HEIMWEE.sigml
HEK	HEK.sigml
HEKEL	HEKEL.sigml
HEKS	HEKS.sigml
HELIKOPTER	HELIKOPTER.sigml
HELPEN	HELPEN-DI{1_2}.sigml
HELPEN	HELPEN.sigml
HEMD	HEMD.sigml
HEMEL	HEMEL.sigml
HEMELVAART	HEMELVAART.sigml
HERFST	HERFST.sigml
HERHALEN	HERHALEN.sigml
HERHALING	HERHALING.sigml
HERINNEREN	HERINNEREN.sigml
HERINNERING	HERINNERING.sigml
HERSENEN	HERSENEN.sigml
HETZELFDE	HETZELFDE.sigml
HET_LAAT_ME_KOUD	HET_LAAT_ME_KOUD-SQ.sigml
HET_MAAKT_MIJ_NIETS_UIT	HET_MAAKT_MIJ_NIETS_UIT-SQ.sigml
HIER	HIER.sigml
HOE	HOE.sigml
HOED	HOED.sigml
HOESTEN	HOESTEN.sigml
HOEVEEL	HOEVEEL.sigml
HOEVEN	HOEVEN-AM{NIET}.sigml
HOE_BESTAAT_HET	HOE_BESTAAT_HET-SQ.sigml
HOE_KOMT_DAT	HOE_KOMT_DAT-SQ.sigml
HOE_LAAT	HOE_LAAT-SQ.sigml
HOE_LANG	HOE_LANG-AM{TIJD}.sigml
HOND	HOND.sigml
HONDERD	HONDERD.sigml
HONGER	HONGER.sigml
HONING	HONING.sigml
HOOFD	HOOFD.sigml
HOOFDPIJN	HOOFDPIJN.sigml
HOOG	HOOG.sigml
HOOGTE	HOOGTE.sigml
HOOI	HOOI.sigml
HOPEN	HOPEN.sigml
HOREN	HOREN.sigml
HOREND	HOREND.sigml
HORLOGE	HORLOGE.sigml
HOUDEN_VAN	HOUDEN_VAN-SQ.sigml
HOUDING	HOUDING.sigml
HOUT	HOUT.sigml
HOU_OP	HOU_OP-SQ.sigml
HUILEN	HUILEN.sigml
HUIS	HUIS.sigml
HUISWERK	HUISWERK.sigml
HUREN	HUREN.sigml
HUWELIJK	HUWELIJK.sigml
I	I-SP.sigml
IDEE	IDEE.sigml
IEDEREEN	IEDEREEN.sigml
IEMAND	IEMAND.sigml
IETS	IETS.sigml
II	II-SP.sigml
IJVERIG	IJVERIG.sigml
IK_ZIT_VOL	IK_ZIT_VOL-SQ.sigml
IN	IN.sigml
INADEMEN	INADEMEN.sigml
INBEELDEN	INBEELDEN.sigml
INDEX_3A	INDEX_3A-GR.sigml
INDEX_3B	INDEX_3B-GR.sigml
INDEX_HAND	INDEX_HAND-GR.sigml
INDEX_VEEL	INDEX_VEEL-GR.sigml
INDIVIDU	INDIVIDU.sigml
INDUSTRIE	INDUSTRIE.sigml
INFORMATIE	INFORMATIE-DI{2_1}.sigml
INFORMATIE	INFORMATIE.sigml
INFORMEREN	INFORMEREN.sigml
INFUUS	INFUUS.sigml
INGANG	INGANG.sigml
INGEWIKKELD	INGEWIKKELD.sigml
INHOUD	INHOUD.sigml
INJECTIE	INJECTIE.sigml
INKOMEN	INKOMEN.sigml
